10220;Uluslararası İlişkiler;14265;14059
49014;Uluslararası İlişkiler(açıköğretim);48542;76104
10602;Uluslararası İşletme Yönetimi;60;53
97198;Uluslararası Tıp;205;180
10227;Uluslararası Ticaret (Fakülte);265;644
20091;Uluslararası Ticaret (Yüksekokul);470;674
11415;Uluslararası Ticaret Ve Finans;0;0
97103;Uluslararası Ticaret Ve Finansman;1126;1865
10226;Uluslararası Ticaret Ve İşletmecilik (Fakülte);1462;2432
20108;Uluslararası Ticaret Ve İşletmecilik (Yüksekokul);138;167
97186;Uluslararası Ticaret Ve Lojistik(açıköğretim));2950;4768
10824;Uluslararası Ticaret Ve Lojistik (Fakülte);2919;5264
20803;Uluslararası Ticaret Ve Lojistik (Yüksekokul);105;174
123458;Uluslararası Ulaştırma Sistemleri;7;12
10228;Urdu Dili Ve Edebiyatı;164;153
19060;Uzay Bilimleri Ve Teknolojileri;80;250
10230;Uzay Mühendisliği;174;456
97146;Uzay Ve Uydu Mühendisliği;14;27
10232;Veterinerlik;6028;9768
19062;Yaban Hayatı Ekolojisi Ve Yönetimi;17;59
554009;Yapay Zeka Mühendisliği;45;141
97145;Yapay Zeka Ve Veri Mühendisliği;8;33
123459;Yazılım Geliştirme;11;46
10233;Yazılım Mühendisliği;1484;4837
30017;Yazılım Mühendisliği (M.T.O.K.);54;282
10704;Yeni Medya (Fakülte);341;377
123450;Yeni Medya (Yüksekokul);26;55
19084;Yeni Medya Ve İletişim;741;707
18019;Yerel Yönetimler;146;160
19064;Yiyecek Ve İçecek İşletmeciliği;267;225
10054;Yönetim Bilimleri Programları;91;151
48024;Yönetim Bilişim Sistemleri(açıköğretim);16694;38554
10234;Yönetim Bilişim Sistemleri (Fakülte);3950;7986
20097;Yönetim Bilişim Sistemleri (Yüksekokul);391;915
10235;Yunan Dili Ve Edebiyatı;75;79
19068;Zaza Dili Ve Edebiyatı;82;198
19560;Ziraat Mühendisliği Programları;24;35
10807;Zootekni;861;2624
